eng;meaning;ir;score
add;say sth more;abair;0
add;score;scóráil;0
add;score;faigh;0
add;score;gnóthaigh;0
add;in maths;suimigh;0
add;give extra quality;cuir le;0
answer;question;freagair;0
answer;question;freagra a thabhairt ar;0
answer;letter, ad, etc;freagair;0
answer;letter, ad, etc;freagra a thabhairt ar;0
answer;in exam etc;freagra a thabhairt ar;0
answer;in exam etc;freagra a thabhairt ar;0
answer;call, door, etc;freagair;0
answer;criticism etc;freagair;0
answer;criticism etc;freagra a thabhairt ar;0
answer;accusation;freagair;0
answer;solve (problem);réitigh;0
answer;solve (problem);leigheas;0
answer;return (attack, look etc);freagair;0
answer;cater for (need);freastail ar;0
answer;cater for (need);riar ar;0
ask;inquire (obj person);fiafraigh de;0
ask;inquire (obj person);ceist a chur ar;0
ask;inquire (obj question);fiafraigh;0
ask;inquire (obj question);fiosraigh;0
ask;request (obj person);iarr ar;0
ask;request (obj person);lorg ó;0
ask;request (obj request);iarr;0
ask;request (obj request);lorg;0
ask;expect, demand;iarr;0
ask;expect, demand;lorg;0
ask;expect, demand;bheith ag súil le;0
ask;invite;cuireadh;0
ask;invite;cuireadh;0
ask;invite;iarr;0
ask;charge;iarr;0
ask;charge;lorg;0
ask;get permission;cead a fháil;0
ask;get permission;cead a iarraidh;0
bake;cook in oven;bácáil;0
bake;harden in heat;bácáil;0
bake;harden in heat;bruith;0
be;stating status, position, appearance etc;bí;0
be;stating status, position, appearance etc;is;0
be;describing behaviour, temporary state;bí;4
be;describing behaviour, temporary state;is;4
be;equal to amount;bí;0
be;equal to amount;is;0
be;go somewhere;bí;0
be;go somewhere;téigh;0
be;exist;bí ann;0
be;with present participle, to form progressive;bí;0
be;in question tags;bí;0
be;in short answer;bí;0
bounce;of ball etc;preab;0
bounce;of ball etc;léim;0
bounce;of ball etc;bocáil;0
bounce;of light, sound, etc;preab;0
bounce;of light, sound, etc;bocáil;0
bounce;of light, sound, etc;frithchaith;0
bounce;move up and down;preab;0
bounce;move energetically;pocléim;0
bounce;cheque;diúltaigh;0
bounce;cheque;ob;0
bounce;cheque;preab;0
bounce;email;preab ar ais;0
bounce;move sb;caith amach;0
bounce;move sb;bata agus bóthar a thabhairt do;0
bring;carry with you;tabhair leat;0
bring;carry with you;beir leat;0
bring;take to sb;tabhair leat;0
bring;get and return with;faigh;0
bring;provide, supply;cuir ar fáil;0
bring;deliver (income, profit);saothraigh;0
bring;deliver (income, profit);tuill;0
build;building, structure;tóg;0
build;building, structure;déan;0
build;vehicle, machine;déan;0
build;create (reputation, society);cuir le chéile;0
build;create (reputation, society);cruthaigh;0
build;create (reputation, society);déan;0
build;develop (trust etc);forbair;0
build;develop (trust etc);cothaigh;0
build;(of tension, excitement) grow;méadaigh verb;0
build;(of tension, excitement) grow;dul i dtreise;0
build;(of tension, excitement) grow;ardaigh;0
buy;pay money for;ceannaigh;0
buy;bribe;ceannaigh;0
buy;obtain by sacrifice;saothraigh;0
buy;obtain by sacrifice;ceannaigh;0
buy;believe, accept;creid;0
buy;believe, accept;glac le;0
call;name;tabhair ar;0
call;name;glaoigh ar;0
call;describe, refer to as;tabhair ar;0
call;describe, refer to as;glaoigh ar;0
call;agree on;abair;0
call;phone;glaoigh ar;0
call;phone;scairt ar;0
call;phone;glaoch a chur ar;0
call;phone;scairt a chur ar;0
call;phone;scairt a chur;0
call;phone;glaoigh;0
call;phone;scairt;0
call;summon service etc;glaoigh ar;0
call;summon service etc;scairt ar;0
call;summon person etc;glaoigh;0
call;summon person etc;gair;0
call;in court;gair;0
call;in court;glaoigh;0
call;to vocation;gair;0
call;convene;gair;0
call;convene;fógair;0
call;shout sth;glaoigh;0
call;shout sth;scairt;0
call;shout sth;fógair;0
call;shout to sb;glaoigh;0
call;shout to sb;scairt;0
call;shout to sb;glaoigh ar;0
call;shout to sb;scairt ar;0
call;announce;glaoigh;0
call;announce;scairt;0
call;announce;fógair;0
call;declare;fógair;0
call;choose trumps;glaoigh;0
call;choose trumps;fógair;0
call;when tossing coin;glaoigh;0
call;predict;glaoigh;0
call;shout dance steps;glaoigh;0
call;shout dance steps;fógair;0
call;of animal, bird, etc;glaoigh;0
call;visit;buail isteach;0
call;visit;tar ar cuairt;0
can;be able;is féidir le;0
can;be able;tig le;0
can;be able;féad;0
carry;take physically;iompair;0
carry;of vehicle;iompair;0
carry;of vehicle;tabhair;0
carry;of road, pipe, etc;iompair;0
carry;of stream etc;iompair;0
carry;convey news etc;iompair;0
carry;have virus etc;iompair;0
carry;publish;foilsigh;0
carry;broadcast;craol;0
carry;support weight;iompair;0
carry;bear oneself;iompair;0
carry;develop, continue;lean le;0
carry;develop, continue;lean de;0
carry;lead sb somewhere;tabhair;0
carry;do sb's share etc;iompair;0
carry;approve emotion;iompair;0
carry;engage audience, reader, etc;meall;0
carry;engage audience, reader, etc;téigh i gcion ar;0
carry;(especially US) win election;an bua a beith agat i;0
carry;of voice, sound;bheith le cloisteáil;0
carry;of voice, sound;bheith le cluinstin;0
carry;be pregnant;bheith ag iompar;0
carry;be pregnant;iompair;0
catch;field ball etc;ceap;0
catch;field ball etc;beir ar;0
catch;field ball etc;greim a fháil ar;0
catch;field ball etc;gabh;0
catch;stop sb falling;beir ar;0
catch;stop sb falling;greim a fháil ar;0
catch;put batsman out;cuir amach trí cheapadh;0
catch;stop falling liquid, objects;ceap;0
catch;stop falling liquid, objects;beir ar;0
catch;stop falling liquid, objects;bailigh;0
catch;stop sb escaping;beir ar;0
catch;stop sb escaping;greim a fháil ar;0
catch;take hold of sb;beir ar;0
catch;take hold of sb;greim a bhreith ar;0
catch;take hold of sb;greim a fháil ar;0
catch;find and arrest sb;beir ar;0
catch;find and arrest sb;gabh;0
catch;find and arrest sb;greim a fháil ar;0
catch;get on train etc;faigh;0
catch;get on train etc;téigh ar;0
catch;arrive in time for train etc;bheith in am do;0
catch;arrive in time for train etc;faigh;0
catch;be in time to see or do sth;faigh;0
catch;be in time to see or do sth;bheith in am do;0
catch;trap, hunt;beir ar;0
catch;trap, hunt;ceap;0
catch;trap, hunt;greim a fháil ar;0
catch;find sb doing sth wrong or illegal;beir ar;0
catch;find sb doing sth wrong or illegal;greim a fháil ar;0
catch;find sb in unexpected situation;beir ar;0
catch;find sb in unexpected situation;beir amuigh ar;0
catch;see or smell;faigh;0
catch;get disease;tolg;0
catch;get disease;faigh;0
catch;get disease;tóg;0
catch;hear;clois;0
catch;hear;cluin;0
catch;understand;tuig;0
catch;find sb you need to talk to;beir ar;0
catch;find sb you need to talk to;tar ar cuairt;0
catch;find sb you need to talk to;faigh;0
catch;find sb you need to talk to;greim a fháil ar;0
catch;discover problem, illness;faigh;0
catch;discover problem, illness;tar ar;0
catch;discover problem, illness;beir ar;0
catch;discover problem, illness;aimsigh;0
catch;get stuck;téigh i bhfostú;0
catch;get stuck;téigh i ngreim;0
catch;get stuck;greamaigh;0
catch;make sth get stuck;greamaigh;0
catch;make sth get stuck;ceap;0
catch;of wind, wave;beir ar;0
catch;of wind, wave;gabh;0
catch;hit sb on part of body;buail;0
catch;hit part of body on sth;buail;0
catch;describe, portray accurately;tabhair leat;0
catch;start to burn;las;0
catch;start to burn;adhain;0
change;become different;athraigh;0
change;of wind;athraigh;0
change;of wind;cas;0
change;of wind;iompaigh;0
change;go different colour;athraigh;0
change;go different colour;cas;0
change;make sth/sb different;athraigh;0
change;move sth/sb;bog;0
change;move sth/sb;athraigh;0
change;move sth/sb;aistrigh;0
change;switch to sth;athraigh;0
change;replace;athraigh;0
change;exchange purchase;athraigh;0
change;exchange money;athraigh;0
change;exchange money;malartaigh;0
change;exchange for coins etc;bris;0
change;exchange for coins etc;sóinseáil;0
change;clothes;do chuid éadaí a athrú;0
change;clothes;do chuid éadaigh a athrú;0
change;clothes;athrú éadaigh a chur ort;0
change;bus, plane, etc;athraigh;0
change;bus, plane, etc;aistrigh;0
choose;pick from alternatives;roghnaigh;0
choose;pick from alternatives;pioc;0
choose;pick from alternatives;rogha a dhéanamh;0
choose;pick from alternatives;roghnaigh;0
choose;decide to do sth;cinn;0
choose;decide to do sth;socraigh;0
choose;decide to do sth;beartaigh;0
clap;in applause;bheith ag bualadh bos;0
clap;in applause;bualadh bos a thabhairt do;0
clap;hit hands together;do bhosa a bhualadh ar a chéile;0
clap;place firmly;cuir;0
clap;place firmly;fáisc;0
clap;place firmly;leag;0
clean;remove dirt etc;glan;0
clean;remove dirt etc;nigh;0
clean;gut;glan;0
climb;clamber, scale;dreap;0
climb;on mountain etc;dreap;0
climb;on mountain etc;bheith ag dreapadh;0
climb;go up stairs, slope, etc;téigh suas;0
climb;go up stairs, slope, etc;gabh suas;0
climb;increase;ardaigh;0
climb;achieve rank, status;téigh in airde;0
climb;achieve rank, status;téigh suas;0
climb;(of aircraft) move higher;ardaigh;0
climb;(of road, path) ris;ardaigh;0
climb;(of plant) grow up over surface;dreap;0
climb;(of sun) rise higher;éirigh;0
close;shut door, drawer, eyes, etc;dún;0
close;shut door, drawer, eyes, etc;druid;0
close;fold book, umbrella;dún;0
close;fold book, umbrella;druid;0
close;block hole, opening;dún;0
close;block hole, opening;druid;0
close;shut business etc;dún;0
close;shut business etc;druid;0
close;restrict access to road etc;dún;0
close;restrict access to road etc;druid;0
close;end activity, discussion;deireadh a chur le;0
close;end activity, discussion;críoch a chur le;0
close;end activity, discussion;tabhair chun deiridh;0
close;end activity, discussion;clabhsúr a chur ar;0
close;end activity, discussion;críochnaigh;0
close;stop app, window, etc;dún;0
close;stop app, window, etc;druid;0
close;reduce difference, distance;laghdaigh;0
close;reduce difference, distance;téigh i laghad;0
close;approach, catch up;tar níos cóngaraí;0
close;approach, catch up;tar níos gaire;0
close;terminate account;dún;0
close;terminate account;druid;0
close;finalise deal;cuir i gcrích;0
close;of cut, wound;dún;0
close;of cut, wound;druid;0
close;of circuit;dún;0
close;of circuit;druid;0
come;move, travel;tar;0
come;attend, accompany;tar;0
come;arrive;tar;0
come;happen;tar;0
come;happen;tarlaigh;0
come;reach sth physically;tar;0
come;reach point, state;tar;0
come;be sold etc;bheith ar fáil;0
come;feature in priority, order, etc;tar;0
come;orgasm;tar;0
complete;finish;críochnaigh verb;0
complete;finish;cuir i gcrích;0
complete;make whole;iomlánaigh;0
complete;fill in form etc;líon;0
complete;fill in form etc;comhlánaigh;0
cook;food, meal;cócaráil;0
cook;food, meal;réitigh;0
cook;food, meal;cócaráil verb;0
cook;food, meal;an chócaireacht a dhéanamh;0
cook;food, meal;bia a réiteach;0
cook;undergo cooking process;cócaráil;0
cook;happen;tarlaigh;0
cook;happen;bheith ar bun;0
count;calculate numbers;comhair;0
count;calculate numbers;cuntais;0
count;calculate numbers;áirigh;0
count;say numbers in sequence;comhair;0
count;say numbers in sequence;cuntais;0
count;say numbers in sequence;comhaireamh a dhéanamh;0
count;include sb/sth in calculation;áirigh;0
count;include sb/sth in calculation;cuir san áireamh;0
count;include sb/sth in calculation;cuir sa chuntas;0
count;be included in calculation;áirigh;0
count;be included in calculation;bheith san áireamh;0
count;consider sb/sth in category;áirigh;0
count;be considered in category;bheith san áireamh;0
count;be significant;bheith tábhachtach;0
cross;move across;trasnaigh;0
cross;move across;téigh trasna;0
cross;intersect;trasnaigh;0
cross;intersect;téigh trasna ar;0
cross;traverse;téigh trasna;0
cross;fold legs, arms;cuir trasna ar a chéile;0
cross;fold legs, arms;cuir thar a chéile;0
cross;move within or between bodies;sáraigh;0
cross;go beyond (limit);sáraigh;0
cross;hit (ball) across;buail trasna;0
cross;hit (ball) across;cuir trasna;0
cross;combine breeds;crosáil;0
cross;combine breeds;crosphóraigh;0
cross;combine breeds;cros-síolraigh;0
cross;thwart, oppose;cuir in aghaidh;0
cross;thwart, oppose;cuir i gcoinne;0
cry;weep;caoin;0
cry;weep;goil;0
cry;call, shout out;glaoigh;0
cry;call, shout out;scairt;0
cry;advertise (wares);reic;0
cry;of bird, animal;scréach;0
cry;of bird, animal;scread;0
dance;move body to music;bheith ag damhsa;0
dance;move body to music;bheith ag rince;0
dance;move body to music;damhsaigh;0
dance;move body to music;rinc;0
dance;perform dance steps;bheith ag damhsa;0
dance;perform dance steps;bheith ag rince;0
dance;move in lively way;bheith ag pramsáil;0
dance;move in lively way;bheith ag rince;0
dance;eyes;bheith ag glioscarnach;0
dance;eyes;bheith ag lonrú;0
do;perform activity;déan;0
do;achieve (sth);déan;0
do;perform, progress;déan;0
do;produce effect;déan;0
do;have function;déan;0
do;perform (act, scene, play);déan;0
do;perform (act, scene, play);cuir i láthair;0
do;with 'what': work at;déan;0
do;study (subject, course);déan;0
do;cover (topic);déan;0
do;engage in sport etc;déan;0
do;create (work, document etc);déan;0
do;write report, essay, etc;scríobh;0
do;write report, essay, etc;déan;0
do;cook, prepare food;déan;0
do;cook, prepare food;réitigh;0
do;spend time period;cuir isteach;0
do;spend time period;déan;0
do;spend time period;caith;0
do;travel distance, speed;déan;0
do;travel distance, speed;téigh;0
do;visit (place);téigh go dtí;0
do;visit (place);cuairt a thabhairt ar;0
do;charge or punish sb;an dlí a chur ar;0
do;charge or punish sb;tabhair chun cúirte;0
do;charge or punish sb;tabhair os comhair na cúirte;0
do;kill sb;treascair;0
do;kill sb;cnag;0
do;cheat, trick;bob a bhualadh ar;0
do;cheat, trick;dallamullóg a chur ar;0
do;sterilise (animal);coill;0
do;sterilise (animal);gearr;0
do;impersonate;aithris a dhéanamh ar;0
do;take drug;tóg;0
do;take drug;glac;0
do;take drug;caith;0
draw;produce image;tarraing;0
draw;pull;tarraing;0
draw;open/close sth;tarraing;0
draw;take out weapon etc;tarraing;0
draw;extract tooth etc;tarraing;0
draw;extract tooth etc;stoith;0
draw;get sth from source;tarraing;0
draw;get (confession);meall;0
draw;get (confession);tarraing;0
draw;pick randomly;tarraing;0
draw;pick randomly;an tarraingt a dhéanamh;0
draw;get, derive;faigh;0
draw;(of fire) pull in air;tarraing;0
draw;(of tea) brew;tarraing;0
draw;guide sb;tabhair;0
draw;attract sb;tarraing;0
draw;attract sb;meall;0
draw;attract attention etc;tarraing;0
draw;induce sb;tarraing;0
draw;induce sb;meall;0
draw;deduce;bain;0
draw;provoke response;tarraing;0
draw;(in bridge) lead;imir;0
draw;make (wire);tarraing;0
draw;disembowel;glan;0
draw;disembowel;na hinní a bhaint as;0
draw;tie;bheith ar comhscór;0
draw;tie;bheith cothrom;0
draw;tie;críochnaigh ar comhscór;0
draw;need (depth);tarraing;0
draw;(of sailes) fill with wind;tarraing;0
dream;while sleeping;bheith ag brionglóideach;0
dream;while sleeping;brionglóid a bheith agat;0
dream;while sleeping;taibhreamh a bheith agat;0
dream;day-dream;bheith ag smaoineamh siar;0
dream;fantasise unrealistically;bheith ag brionglóideach;0
dream;fantasise unrealistically;dul amú a bheith ort;0
dress;put on your clothes;tú féin a ghléasadh;0
dress;put on your clothes;do chuid éadaigh a chur ort;0
dress;put clothes on sb;gléas;0
dress;wear particular clothes;gléas;0
dress;design, choose clothes for (sb);éadaí a dhearadh do;0
dress;design, choose clothes for (sb);éadach a dhearadh do;0
dress;put dressing on salad;blastán a chur ar;0
dress;bandage wound;cóirigh;0
dress;decorate (room, tree etc);maisigh;0
dress;decorate (room, tree etc);cóirigh;0
dress;smooth (stone);cóirigh;0
dress;arrange (hair);cóirigh;0
dress;arrange (hair);réitigh;0
dress;prepare (bird, crab);ullmhaigh;0
dress;prepare (bird, crab);cóirigh;0
dress;prepare (bird, crab);réitigh;0
dress;fertilise (soil);leasaigh;0
drink;consume liquid;ól;0
drink;consume alcohol;ól;0
drink;(of plants) absorb moisture;ídigh;0
drink;use a lot of fuel;bheith trom ar;0
drink;use a lot of fuel;slog;0
drink;toast;ól;0
drive;use or steer vehicle;tiomáin;0
drive;describing how vehicle handles;tiomáin;0
drive;provide impetus for;cuir chun cinn;0
drive;provide impetus for;spreag;0
drive;herd animals;seol;0
drive;force sb to go;díbir;0
drive;force sb to go;ruaig;0
drive;banish thought;ruaig;0
drive;banish thought;an ruaig a chur ar;0
drive;of software, device;tiomáin;0
drive;of software, device;cuir ag obair;0
drive;power machine, wheel, etc;tiomáin;0
drive;power machine, wheel, etc;oibrigh;0
drive;force sb to work hard;tiomáin;0
drive;of cloud, rain, wind, etc;brúigh;0
drive;of cloud, rain, wind, etc;séid;0
drive;of nail, point, etc;buail;0
drive;of nail, point, etc;tiomáin;0
drive;of nail, point, etc;sáigh;0
drive;hit or kick hard;tiomáin;0
drop;fall;tit;0
drop;let sth fall;lig uait;0
drop;let sth fall;caith uait;0
drop;put ball in hole;cuir sa pholl;0
drop;(of connection) be lost;clis;0
drop;(of connection) be lost;loic;0
drop;decrease;tit;0
drop;decrease;ísligh;0
drop;decrease;laghdaigh;0
drop;lower sth;ísligh;0
drop;bring to location;tabhair chuig;0
drop;bring to location;fág ag;0
drop;mention;luaigh;0
drop;mention;tarraing isteach;0
drop;send message;cuir;0
drop;send message;seol;0
drop;lose, fail to score;caill;0
drop;stop associating with;faigh réidh le;0
drop;stop associating with;faigh réitithe de;0
drop;stop associating with;cúl a thabhairt le;0
drop;let go;scaoil le;0
drop;let go;lig chun siúil;0
drop;abandon;éirigh as;0
drop;abandon;fág i do dhiaidh;0
drop;fail to pronounce;báigh;0
drop;(of ground) fall away;tit;0
drop;(of ground) fall away;tit le fána;0
drop;take drug;tóg;0
drop;take drug;glac;0
drop;take drug;caith siar;0
drop;lose (money);caill;0
drop;give birth;beir;0
drop;bring to ground;leag;0
drop;bring to ground;leag go talamh;0
drop;bring to ground;leag amach;0
dry;become dry;triomaigh;0
dry;become dry;éirigh tirim;0
dry;make sth dry;triomaigh;0
dry;wipe dishes;triomaigh;0
dry;make skin, hair rough;triomaigh;0
dry;desiccate food etc;triomaigh;0
eat;of food or diet;ith;0
eat;have meal;ith;0
eat;have meal;caith;0
eat;lot of;slog;0
eat;lot of;alp;0
email;send email;ríomhphost a chur;0
email;send email;ríomhphost a sheoladh;0
email;send email;ríomhphost a chur chuig;0
email;send email;ríomhphost a sheoladh chuig;0
enjoy;derive pleasure from;taitneamh a bhaint as;0
enjoy;derive pleasure from;sult a bhaint as;0
fall;move quickly down;tit;0
fall;of snow, rain, tears, etc;tit;0
fall;of person, tree, structure;tit;0
fall;of person, tree, structure;tit go talamh;0
fall;of level, amount, value, etc;tit;0
fall;of level, amount, value, etc;ísligh;0
fall;of day/date;tit;0
fall;lose power;tit;0
fall;be taken by enemy;tit;0
fall;be killed in war;tit;0
fall;slope downwards;tit;0
fall;slope downwards;ísligh;0
fall;of sound, wind, etc;ísligh;0
fall;of sound, wind, etc;ciúnaigh;0
fall;of night, darkness;tit;0
fall;start to affect sb/sth;tit;0
feed;people, animals, etc;cothaigh;0
feed;people, animals, etc;beathaigh;0
feed;people, animals, etc;bia a thabhairt do;0
feed;people, animals, etc;biathaigh;0
feed;baby ;beathaigh;0
feed;baby ;cothaigh;0
feed;baby: drink milk;bheith ag diúl;0
feed;animal: eat food;ith;0
feed;plant;beathaigh;0
feed;plant;leasaigh;0
feed;give sb information, idea, etc;tabhair do;0
feed;give sb information, idea, etc;inis do;0
feed;into machine etc;cuir isteach;0
feed;move sth;cuir;0
feed;move sth;lig;0
feed;move sth;scaoil;0
feed;with water, power etc;soláthair;0
feed;with water, power etc;cuir ar fáil;0
feed;strengthen (feeling, suspicion etc);neartaigh;0
feed;strengthen (feeling, suspicion etc);láidrigh;0
feed;strengthen (feeling, suspicion etc);cothaigh;0
feed;strengthen (feeling, suspicion etc);cuir le;0
feed;provide for habit, demand, etc;freastail ar;0
feed;provide for habit, demand, etc;freastal a dhéanamh ar;0
feed;put fuel onto;cuir le;0
feed;put fuel onto;coinnigh le;0
feel;emotionally, physically;mothaigh;0
feel;emotionally, physically;braith;0
feel;emotionally, physically;airigh;0
feel;be aware of emotion, sensation;mothaigh;0
feel;be aware of emotion, sensation;braith;0
feel;be aware of emotion, sensation;airigh;0
feel;produce feeling;mothaigh;0
feel;produce feeling;braith;0
feel;produce feeling;airigh;0
feel;touch;mothaigh;0
feel;touch;braith;0
feel;touch;airigh;0
feel;touch;cuimil;0
feel;touch;do lámh a chur ar;0
feel;touch;do mhéar a chur ar;0
feel;search with hands;cuardaigh;0
feel;search with hands;lorg;0
feel;search with hands;braith romhat;0
feel;search with hands;mothaigh;0
feel;be cold etc to the touch;mothaigh;0
feel;be cold etc to the touch;braith;0
