ir;eng;used
abair;to say;1
achainigh;to entreat (to request earnestly);0
achoimrigh;to recap/recapitulate/summarise;1
adhair;to adore/worship;1
adharcáil;to gore;0
adhlaic;to bury;0
admhaigh;to admit;0
aeráil;to air (as in to air a room);0
agair;to beg/sue;0
aibigh;to ripen;0
aicmigh;to classify;1
aifir;to rebuke;0
aimridigh;to sterilise;0
aimsigh;to hit/locate;0
ainmnigh;to assign/name;0
airigh;to receive/calculate;0
aisghair;to repeal;0
aisig;to restore;1
aistarraing;to retract;0
aistrigh;to change;1
aisíoc;to refund/reimburse/repay;0
aithin;to recognise;1
áitigh;to argue;1
áitrigh;to inhabit;0
aithris;to recite;1
allmhairigh;to import;0
alp;to devour/gobble/scoff;1
anailísigh;to analyze;1
anluchtaigh;to overload;0
análaigh;to respire/aspirate/breathe;1
aontaigh;to concour/agree;1
ardaigh;to ascend/elevate/heighten/hoist/lift;1
aslonnaigh;to evacuate;1
athaimsigh;to relocate;1
athaontaigh;to reunite;0
athbheoigh;to resuscitate/revive;1
athbhreithnigh;to review;1
athbhunaigh;to re-establish, reconstitute;0
athchas;to rewind (as in a tape);0
athcheartaigh;to revise;0
athchomhairligh;to discourage;1
athchóirigh;to alter/recondition/refurbish/renovate/restore(building)/revamp/upgrade (house);0
athchúrsáil;to recycle;1
athdhearbhaigh;to reassure;0
athdheisigh;to refurbish;0
athdhéan;to redo;1
atheagraigh;to redeploy (resources);0
athghair;to recall;1
athghnóthaigh;to regain;0
athlonnaigh;to relocate;1
athlíon;to refill/replenish (glass);0
athnuaigh;to rejuvenate/renew;0
athobair;to repeat work;1
athoil;to retrain (worker);0
athphlandáil;to transplant;0
athraigh;to alter/change/vary;0
athroinn;to redeploy;0
athscag;to refine;1
athsheol;to redirect (mail);0
athsholáthair;to replace;1
athshreangaigh;to rewire;0
atosaigh;to renew/resume;0
atreoraigh;to divert;0
atáirg;to reproduce;0
atóg;to reconstruct (building);1
babhtáil;to barter;0
bac;to hinder/impede/thwart;0
bagair;to threaten;1
bailigh;to assemble/collect/gather;1
bain;to harvest/mow/reap/dig up (potatoes);0
baist;to baptise/christen;0
barrloisc;to singe;0
basc;to mangle/maul;0
batráil;to batter;0
bealaigh;to grease/lubricate;0
beannaigh;to bless;0
bearnaigh;to breach;1
bearr;to prune/shave;1
beartaigh;to contrive/scheme/wield (sword);0
beir;to grab;1
beirigh;to boil;1
beoigh;to liven-up;0
bioraigh;to sharpen;1
bladair;to cajole;0
bodhraigh;to deafen;0
bog;to budge/maneuver/relax(muscle)/soften;0
bolg;to distend(physiology)/bloat(agriculture);0
borr;to surge;0
braith;to betray/notice/perceive/detect/size-up/sound-out;0
breithnigh;to evaluate(factor);0
breoigh;to glow;0
bris;to break/fail(candidate)/overthrow/bring-down(government)/shatter - more;1
broid;to goad/nudge/prod;0
bronn;to donate;1
brostaigh;to hasten/precipitate;0
bruith;to bake;1
bréag;to lie/delude;1
bréagnaigh;to belie/contradict/disprove/rebut;0
bróidnigh;to embroider;0
brúigh;to hustle/mash/shove;0
buaigh;to win;1
buail;to flap/hit/knock/lick/thresh(agriculture)/toll(bell);0
buain;to reap;0
buair;to annoy;1
bunaigh;to establish/found/institute;0
bácáil;to bake;1
báigh;to drench/drown/plunge/sink(ship)/soak/swamp;1
bánaigh;to bleach(linen)/evacuate(place);1
bí;to be;1
cabhraigh;to assist;1
cailg;to bite;1
caill;to forfeit(lose)/miss/shed;1
cairt;to peel/tan/encrust;0
cairtfhostaigh;to charter(plane);0
caith;to cast(throw)/check(throw)/expend/fling/flip/hurl/toss/throw/wear;0
can / labhair;to speak;1
canbhasáil;to canvass;0
caoch;to daze/overwhelming(victory vi)/resounding(victory vi);0
caoin;to cry (vi)/mourne (vi)/weep(vi);1
caolaigh;to dilute/constrict;0
caomhnaigh;to conserve/preserve (keep safe);0
carn;to accumulate;1
cas;to twirl;0
ceadaigh;to allow/approve/let(practise/claim/goal);1
cealaigh;to annul/cancel/delete;0
cealg;to deceive;0
ceangail;to bind/fasten/hitch/teather;1
ceannaigh;to buy/purchase;1
ceap;to appoint/designate(to office)/devise;1
ceartaigh;to adjust(clock/scales/compass)/rectify(error)/rebuke/redress;0
ceiliúir;to celebrate(vi)/vanish;1
ceistigh;to interrogate/query/question/quiz;1
ciallaigh;to interpret;1
ciap;to annoy/besiege/harass/hound/plague/tease;1
ciceáil;to kick;1
cigil;to tickle;1
cinntigh;to assure/confirm/ensure;1
cionroinn;to allocate/distribute;0
ciorclaigh;to encircle;0
ciorraigh;to hack/maim/mangle;0
ciúnaigh;to becalm/hush/quell/sooth;0
clamhair;to maul;0
claochlaigh;to transform;1
claon;to incline/perverse/tilt/veer;0
cleacht;to ply(a trade)/rehearse;0
clip;to prick/tease/torment/wear out;0
clis;to conk-out;0
clois;to hear/overhear;1
cloígh;to overpower/digest/overwhelm(enemy)/repress/subdue/sap;0
cluimhrigh;to preen;0
cluin;to hear/overhear;1
clutharaigh;to muffle;0
cláraigh;to enroll;1
clóigh;to overpower/digest/overwhelm(enemy)/repress/subdue/sap;0
clúdaigh;to cover;1
cnag;to bash/crunch/knock/snap(sound);0
cnaígh;to gnaw;0
cneasaigh;to heal;1
cniotáil;to knit;0
codail;to sleep(vi);1
cogain;to chew(vi);1
coigeartaigh;to update;0
coigil;to economise/save;1
coigistigh;to confiscate;0
coill;to castrate/geld/spay;0
coilínigh;to colonize;1
coimeád;to hold/keep/maintain;0
coimhéad;to observe;1
coimrigh;to sum-up;0
cóineartaigh;to strengthen, confirm;0
coinnigh;to hold/retain/preserve/detain/keep;0
coinsínigh;to consign;0
coip;to ferment/whisk;0
coir;to tire, exhaust;0
coisc;to deter/obstruct(block)/preclude/prevent/prohibit/stave-off(attack);0
coisric;to bless;0
comhaill;to fulfil;1
comhair;to count/reckon;0
comhairligh;to advise;1
comharthaigh;to denote/suggest;1
comhbhailigh;to aggregate;0
comhbhrúigh;to compress;0
comhdhearbhaigh;to corroborate;0
comhdhlúthaigh;to condense;0
comhfhadaigh;to justify(computing);0
comhfhortaigh;to console, comfort;0
comhfhreagair;to correspond;0
comhlíon;to discharge/fulfil/observe/perform(duties)/serve;0
comhordaigh;to coordinate;1
comhréitigh;to conciliate/harmonise (of texts);0
comhtharlaigh;to coincide;0
comhtháthaigh;to integrate;0
conlaigh;to glean;0
corn;to bale/wrap-up;0
corpraigh;to incorporate;0
corraigh;to agitate/affect/budge/disturb/excite/stir(vi);0
cosain;to defend/protect/safeguard;1
coscair;to hack/thaw;0
cothromaigh;to balance/equalize (sport);0
crap;to crumple/shrink(vi);0
creach;to loot/pillage/plunder/ransack/rifle;0
creid;to believe;1
creim;to corrode/erode/thaw;0
creimseáil;to nibble;0
criathraigh;to riddle/sift;0
croch;to hang/suspend;0
croith;to shake/sprinkle/wag/waggle;0
crom;to crouch/droop/stoop;0
cros;to ban/prohibit/veto;0
croscheistigh;to cross-examine(law);0
cruaigh;to hardened/toughened;0
cruinnigh;to gather;0
cruthaigh;to create/establish/prove;0
cráigh;to bother/harass/pester/annoy;0
créam;to cremate;0
críochnaigh;to accomplish/conclude/finish-off;0
cuardaigh;to frisk/prospect/search;0
cuidigh;to help;1
cuimhnigh;to remember;1
cuimil;to fondle/rub/stroke/wipe;0
cuimsigh;to comprehend/include;0
cuir;to put;1
cum;to compose/form/invent/limit;0
cumaisc;to merge/mix;0
cumhdaigh;to protect/uphold(law);0
cuntais;to count/reckon;0
cáiligh;to qualify;0
cáin;to condemn/criticize/fine/levy/penalize/slam/tax;0
céas;to crucify/hound/persecute/torture;0
cíor;to comb/scour(search);1
cócaráil;to cook;1
cóimeáil;to assemble;0
cóineartaigh;to strengthen, confirm;0
cóirigh;to mend/overhaul/rig/straighten;0
cónaigh;to dwell, reside;0
cúbláil;to defraud/misappropriate;0
cúigleáil;to embezzle;0
cúisigh;to accuse;0
cúitigh;to compensate;0
cúngaigh;to narrow;0
cúrsáil;to cruise;0
daingnigh;to fortify/strengthen;0
dall;to blind/darken/dazzle/mesmerize;1
dallraigh;to dazzle;0
damnaigh;to damn;0
dathaigh;to paint;1
deachtaigh;to dictate;0
dealaigh;to part/separate/subtract (maths);0
dearbhaigh;to assert/assure/declare;0
dearc;to consider/look;0
dearg;to blush/kindle/redden;0
deifrigh;to hasten/hurry;1
deighil;to divide;0
deimhnigh;to check/verify;0
deisigh;to fix;0
deonaigh;to accord/condescend/grant;0
dianscaoil;to break/decompose;0
diasraigh;to glean;0
diomail;to dissipate/squander;0
diúraic;to brandish/cast/project/shoot;0
doimhnigh;to deepen;0
dorchaigh;to darken;0
dramhail;to trample;0
dreasaigh;to incite;0
driog;to distil;0
droimscríobh;to endorse;0
druid;to shut;0
dubhaigh;to blacken;1
dáil;to distribute;0
déan;to do, to make;1
dí-armáil;to disarm;0
dí-oighrigh;to de-ice;0
díbholg;to deflate;0
díbir;to banish;0
dícheangail;to detach;0
dícheann;to behead;0
díchoimisiúnaigh;to decommission;0
díchorn;to unwind;0
díchreid;to disbelieve;0
díchum;to distort;0
dícháiligh;to disqualify;0
díchóimeáil;to dismantle;0
dífhabhtaigh;to debug;0
díghalraigh;to disinfect;0
díleáigh;to digest;0
díluacháil;to devalue;0
díluchtaigh;to unload;0
dílódáil;to unload;0
dínáisiúnaigh;to denationalize;0
díol;to sell;1
díothaigh;to abolish/annihilate/eradicate;0
díphacáil;to unpack;0
díreoigh;to defrost;0
dírigh;to straighten/unbend;0
díscaoil;to disintegrate/dissolve;0
díshealbhaigh;to evict;0
díshioc;to defrost;0
díthruailligh;to decontaminate;0
diúraic;to brandish/cast/project/shoot;0
dóigh;to burn;1
dúisigh;to wake up;1
dul;to go;1
dún;to close;1
eadóirsigh;to naturalize;0
éadromaigh;to lighten/make less heavy;0
eagraigh;to organize;0
easpórtáil;to export;0
éalaigh;to escape;0
éiligh;to claim/demand/request;0
éirigh;to rise;1
eiseachaid;to extradite;0
éist;to listen;1
eitil;to fly;1
fadaigh;to kindle/lengthen/prolong;0
faigh;to get;1
fair;to watch;1
fairsingigh;to broaden/expand/widen;0
fan;to wait;1
faobhraigh;to sharpen/whet;0
feabhsaigh;to improve/recuperate;1
feall;to betray/fail;1
feic;to see;1
feidhmigh;to enforce;0
feistigh;to tie up (boat)/trim (with);0
feoigh;to decay;0
fiach;to chase/hunt;1
fiafraigh;to ask;1
fiar;to slant/swerve/tilt/veer;0
figh;to weave;0
fill;to bend/fold/return;0
fionn;to ascertain/discover/invent;0
fiosraigh;to inquire/investigate;0
fiuch;to boil;1
fliuch;to drench/moisten/wet;1
foghlaim;to learn/;1
foilsigh;to disclose/publish/reveal;0
folaigh;to conceal;0
folc;to bathe;0
folig;to sublet;0
folmhaigh;to discharge/unpack;0
forbair;to develope/expand (maths);0
formhéadaigh;to magnify;0
forshuigh;to superimpose;0
fortaigh;to relieve;0
fostaigh;to employ/engage/hire;0
freagair;to answer;1
freastail;to attend;1
frithchaith;to reflect;0
fuadaigh;to hijack/kidnap/snatch;0
fuaigh;to sew;0
fuaimnigh;to pronounce;1
fuascail;to release/deliver (from danger);0
fuathaigh;to hate;1
fuin;to cook/roast/knead;0
fulaing;to suffer;0
fág;to leave;1
fáiltigh;to receive/rejoice;0
fáisc;to tighten/wring;0
fálaigh;to enclose;1
fás;to grow;1
féach;to look;1
fíoraigh;to verify;1
fógair;to announce;0
fóir;to watch;1
gabh;to take;1
gaibhnigh;to preen;0
gair;to acclaim/exclaim/roar;0
galraigh;to infect;0
galstobh;to braise;0
geal;to brighten;1
geall;to bet/promise;0
gearr;to cut/shorten/snip;1
gin;to conceive/generate;0
giorraigh;to curtail/shorten;0
giortaigh;to shrink;0
glac;to take;1
glan;to clean;1
glaoigh;to call;1
gloinigh;to glaze;0
glám;to clutch/grab;0
gléas;to adjust;0
glónraigh;to glaze;0
gnáthaigh;to haunt;0
gníomhachtaigh;to activate;0
gníomhaigh;to activate/perform/act;0
gnóthaigh;to earn;1
gob;to peck;0
goid;to steal;1
goil;to weep;0
gor;to hatch;0
gortaigh;to hurt;1
gread;to batter/swish/wallop;0
greamaigh;to fasten;1
grean;to engrave/grit;0
greasáil;to beat/drub/trounce;0
grinnléigh;to peruse;0
griog;to annoy/excite/incite/irritate/rile/tease;1
griosaigh;to fire/incite/stimulate/inspire;0
gráinigh;to hate;1
gráinseáil;to nibble;0
gríosc;to broil;0
grúdaigh;to brew;0
guailleáil;to jostle/shoulder;0
gualaigh;to char (burn);0
géaraigh;to sharpen/aggravate;0
géill;to capitulate/give/submit/surrender;0
hiopnóisigh;to hypnotize;0
iarr;to ask;1
imigh;to go;1
imir;to play;1
impigh;to beg;1
imscaoil;to decipher;0
imtheorannaigh;to intern;0
inbhéartaigh;to invert;0
infheistigh;to invest;0
inis;to tell;1
iniúch;to audit/inspect;0
insealbhaigh;to install;0
insligh;to insulate;0
insteall;to inject;0
íoc;to contribute/remit (money);0
iolraigh;to multiply;0
iomlánaigh;to integrate;0
iompaigh;to turn;1
iompair;to carry;1
iompórtáil;to import;1
ionchorpraigh;to incorporate;0
ionchúisigh;to prosecute;0
ionfhabhtaigh;to infect;0
ionramháil;to maneuver/manipulate;0
ionsaigh;to attack;1
ionsúigh;to absorb;0
íoslaghdaigh;to minimise;0
íoslódáil;to download;0
íosmhéadaigh;to minimise (reduce);0
ith;to eat;1
lagaigh;to dilute/weaken;0
laghdhdaigh;to decrease/diminish/dwindle/lessen/lighten/reduce;1
lamháil;to allow;0
lansaigh;to lance;0
las;to light;1
lasc;to flog/lash/whip;0
leachtaigh;to liquify;0
leadair;to whack;0
leag;to knock down;0
lean;to follow;0
leasaigh;to amend/reform/season/undo/update;0
leath;to diminish/divide;0
leathnaigh;to broaden/expand/extend/widen;0
leigheas;to cure/heal/remedy/undo;0
leithlisigh;to isolate;0
leomh;to allow/dare;1
leáigh;to melt;0
lig;to allow/release;1
ligh;to lick;1
liostaigh;to itemize/list;0
liostáil;to enlist;0
lobh;to decay/decompose/fester/rot;0
loc;to enclose/pluck;0
lochtaigh;to criticize/fault;0
loit;to hurt/injure/damage;1
lom;to mow/scuff/shear;0
lonnaigh;to settle;0
lorg;to trace;0
luacháil;to evaluate;0
luaigh;to mention;0
luathaigh;to accelerate;0
luchtaigh;to charge/fill/load/fill;0
luigh;to lie (rest)/settle (dust)/to comply with (with le);1
láidrigh;to toughen;0
láimhsigh;to manipulate;0
láraigh;to centralize;0
léas;to flog/trash;0
léigh;to read;1
léim;to jump;1
léirigh;to demonstrate/depict/elucidate/illustrate/indicate/portray;0
léirsigh;to demonstrate;0
líomhain;to allege;0
líon;to fill;1
lódáil;to load;1
lúb;to loop;0
machnaigh;to meditate/muse;0
maidhm;to burst/detonate;0
mair;to live/remain/survive;1
maisigh;to decorate;0
maistrigh;to churn (agriculture);0
maith;to forgive/pardon;0
malartaigh;to barter/;0
mallaigh;to damn;0
maolaigh;to abate/allay/alleviate/deaden/modify/qualify/reduce/relieve/slacken/soothe;0
maothaigh;to moisten/soak/soften;0
maraigh;to kill/slay;0
maslaigh;to blaspheme/snub;0
maígh;to boast;0
meabhraigh;to meditate/memorize/ponder;0
meall;to coax/deceive/delude/disappoint/entice/tempt/woo;0
mearaigh;to baffle/confound/mystify/perplex;0
meas;to consider;0
measc;to mix;1
meidhrigh;to elate/make merry/confuse/frisk;0
meil;to squander/grind (corn);0
meáigh;to weigh;0
mill;to blight/destroy/devastate/mar/spoil;0
milsigh;to sweeten;1
mionaigh;to crumble/mince;0
mionbhrúigh;to crush/crumble;0
mionscrúdaigh;to scan/sift/scan;0
modhnaigh;to modify;1
moilligh;to delay/linger;0
mol;to praise;1
monaraigh;to manufacture;0
morg;to decompose;0
muirnigh;to cherish/cuddle/fondle;0
mungail;to munch;0
méadaigh;to increase;1
méaraigh;to baffle/confound/mystify/perplex;0
mínigh;to smooth/make gentle/explain;0
múch;to asphyxiate/extinguish/muffle/smother/stifle/suffocate;0
múin;to teach;1
múscail;to awaken;0
nasc;to bind/connect/link;0
neadaigh;to embed/nest/nestle;0
neartaigh;to strengthen;0
neodraigh;to neutralize;0
nigh;to wash;0
nuachóirigh;to modernize;0
náisiúnaigh;to nationalize;0
nódaigh;to transplant;0
obair;to work;1
oighrigh;to congeal/freeze;0
oil;to educate;1
oirnigh;to cut in bits/crush/fragment;0
ól;to drink;1
ollchóirigh;to overhaul;0
onnmhairigh;to export;1
onóraigh;to honor;0
ordaigh;to order;1
ornáidigh;to ornament/embellish;0
oscail;to open;1
pacáil;to pack;1
pearsanaigh;to impersonate;0
pioc;to pluck/preen;0
píolótaigh;to navigate;0
plac;to bang/eat/gobble/slam;0
pléadáil;to plead;0
pléasc;to bang/burst/erupt/explode;0
plúch;to asphyxiate/smother/stifle/suffocate;0
poibligh;to make public/publish;1
poll;to bore/penetrate/perforate/pierce/puncture;0
poncloisc;to cauterize;0
potbhiathaigh;to spoon-feed;0
prioc;to pluck/preen;0
promh;to prove;0
pábháil;to pave;0
póraigh;to grow from seed/breed;0
pós;to marry/wed;0
radaigh;to radiate;0
ramhraigh;to fatten/thicken;0
rangaigh;to classify;0
ransaigh;to forage/ransack;0
reoigh;to freeze;0
riar;to administer/dispense/distribute/manage/mete/provide;0
righ;to control/stretch;0
rith;to run;1
robáil;to rob;1
roghnaigh;to pick/select;1
roinn;to divide;0
rois;to unravel;0
rop;to dash/stab;0
rothlaigh;to rotate/slew/slue/twirl;0
ruadhóigh;to scorch;0
ruaig;to drive out/ to chase away;0
ruathair;to raid/foray/scramble (rush)/swoop (by police);0
rácáil;to rake (as in leaves);0
réal;to make clear/develop (photography);0
réamhaithris;to foretell/predict;0
réamhcheannaigh;to pre-empt;0
réamhdhátaigh;to backdate;0
réasúnaigh;to rationalize;0
réitigh;to adjust/arrange/clear/elucidate/level/smooth/solve;0
ríomh;to calculate/count/reckon;0
ríomhairigh;to computerize;0
rómhair;to dig;1
rúisc;to strip/shell/poke/trounce;0
sábh;to saw;0
sábháil;to save;1
sádráil;to exceed/violate (as in history)/outclass (as in sport);0
sáigh;to stab;1
sáinnigh;to beset/hem;0
sáraigh;to violate (law)/get beyond/harass/weary;0
sásaigh;to satisfy;0
sac;to tuck;0
saibhrigh;to enrich;0
saibhseáil;to sweep bottom of water/to rummage about;0
saighid;to incite/provoke;0
sainaithin;to identify;0
sainigh;to state expressly/specify/define;0
sainmhínigh;to define;0
samhlaigh;to envisage/imagine/suppose/visualize;0
sann;to assign;0
santaigh;to covet;0
saobh;to distort/pervert/warp;0
saor;to emancipate/free;0
saothraigh;to cultivate/farm/make/till;0
scag;to filter/refine/sift;0
scaip;to scatter;0
scaird;to gush/jet/pour/splatter/spray/spurt;0
scairt;to shout;1
scall;to poach/scald;0
scan;to scan;1
scanraigh;to appal/frighten/overawe/scare/terrify;0
scaoil;to release;0
scar;to detach/diverge/unfold;0
sceimhligh;to terrify;0
sceith;to divulge/overflow/spawn/spew/vomit;0
scil;to divulge/shell;0
scimeáil;to skim;0
sciob;to snatch;0
scioll;to scold;0
sciorr;to skid;0
scoir;to adjourn/detach/disband/disconnect;0
scoith;to wean;0
scor;to slash;0
scrabh;to scrape;0
scrios;to destroy/erase;1
scrábáil;to scrawl/scribble/squiggle;0
scréach;to screech;0
scríobh;to write;1
scrúdaigh;to examine;0
seachaid;to deliver;0
sealbhaigh;to possess;0
séan;to deny/disown (son)/outgrow (clothes)/repudiate/renounce;0
séid;to blow/inflate;0
searbhaigh;to embitter;0
searg;to shrivel/wilt/wither;0
seas;to stand;0
seiceáil;to check/test;0
seiftigh;to improvise;0
seilg;to hunt/prey;0
seinn;to sound/perform/play (all of music);0
seol;to dispatch/remit/sail/send;0
sioc;to congeal/freeze/frost;0
siortaigh;to forage;0
siúntaigh;to shunt (as in rail);0
slad;to destroy/devastate/loot/pillage/plunder;0
sleamhnaigh;to glide/slide/slither;0
slog;to engulf/swallow/swig;0
slánaigh;to redeem;0
slíoc;to pat/pet;0
smachtaigh;to control/dominate/restrain;0
smaoinigh;to think;1
smeadráil;to smear;0
smear;to grease/smear;0
smiot;to swat;0
smol;to blight;0
smuigleáil;to smuggle;0
smálaigh;to blot/blur/tarnish;0
smúr;to sniff;0
snaidhm;to knit/knot;0
snoigh;to cut/carve;0
snámh;to swim;1
socraigh;to settle/calm;0
soilsigh;to enlighten/illuminate/shine;0
soiléirigh;to elucidate;0
soláthair;to gather/procure/provide/supply;0
sonraigh;to distinguish/perceive/remark;0
spall;to spall (small chip of fragment);0
spalp;to burst forth;0
spoch;to castrate;0
spreag;to urge/inspire;0
spáráil;to spare;0
spíon;to exhaust;0
spól;to carve (meat);0
srac;to drag/extort/strive;0
sraon;to deflect;0
sreangaigh;to wire;0
srian;to curb/restrain;0
sroich;to arrive/reach;1
sruthlaigh;to rinse;0
stad;to stop;1
steall;to dash/spatter/squirt;0
steiriligh;to sterilize;0
stiúir;to manage/navigate/steer;0
stoith;to extract/uproot;0
streachail;to pull/drag/struggle;0
stócáil;to stoke;0
suaimhnigh;to placate/quieten;0
suaith;to massage/shuffle;1
suigh;to sit;1
suiteáil;to install;0
síl;to think/intend;0
síolraigh;to breed;0
sóinseáil;to change;0
súigh;to suck/absorb;0
tabhaigh;to deserve;1
tabhair;to give;1
tacht;to choke/strangle/throttle;0
tairngir;to foretell/prophesy;0
taiscéal;to explore/examine/reconnoiter/reconnoitre;0
taispeáin;to show;1
taithigh;to haunt;0
tanaigh;to dilute;0
taom;to teem;0
tarchuir;to transmit;0
tarlaigh;to happen/occur;1
tarraing;to pull;0
tarrtháil;to rescue/retrieve/salvage;0
tarscaoil;to waive;0
teagasc;to instruct/teach;0
teann;to tighten;0
teasc;to amputate/sever;0
teasdíon;to insulate;0
teilg;to fling/hurl;0
teimhligh;to darken/stain/tarnish;0
teorannaigh;to limit/restrict;0
timpeallaigh;to surround;1
tiomnaigh;to bequeath/dedicate;0
tiomsaigh;to compile;0
tiomáin;to drive;1
tionlaic;to accompany;0
tionscain;to begin/institute;0
tiontaigh;to capsize/convert/invert/turn;0
tionóil;to gather/convene/assemble;0
tirimghlan;to dry-clean;0
tit;to fall;1
tiubhaigh;to thicken;0
tochail;to dig;0
togair;to choose;1
togh;to cull/elect/select;0
toghair;to call;0
toll;to bore/hollow;0
tomhais;to measure/weigh;0
tosaigh;to start;1
traoch;to exhaust/wear out;0
trasnaigh;to heckle/interrupt/intersect;0
treascair;to annihilate/flatten/overwhelm/topple;0
treisigh;to reinforce;0
treáigh;to digest;0
truailligh;to contaminate/doctor/pollute;0
tréig;to abandon/desert/fade/forsake/jilt;0
tuairteáil;to collide/smash;0
tuar;to forecast/foresee/foreshadow/predict;0
tuaslaig;to dissolve;0
tuig;to comprehend/realize/understand;0
tuill;to deserve/earn;1
tuirling;to descend;0
tum;to submerge;0
táblaigh;to tabulate;0
táthaigh;to bind/solder/unite/weld;0
téacht;to come;1
tóg;to take;1
tóraigh;to pursue;0
uchtaigh;to adopt;0
uimhrigh;to number;1
uirísligh;to humiliate;0
uiscigh;to irrigate;0
ullmhaigh;to prepare;1
úraigh;to freshen/refresh/sweeten;0
urchoill;to inhibit;0
vacsaínigh;to vaccinate;0
